product_id,product_name,category,brand,base_price,cost
PR-0001,Товар 0001,Косметика,Omega,1403.13,708.75
PR-0002,Товар 0002,Товары для дома,Delta,3613.46,1716.55
PR-0003,Товар 0003,Бытовая техника,Beta,10818.06,6648.56
PR-0004,Товар 0004,Электроника,Alpha,12479.94,5659.04
PR-0005,Товар 0005,Электроника,Beta,11612.7,5742.07
PR-0006,Товар 0006,Одежда,Gamma,3815.24,2537.58
PR-0007,Товар 0007,Косметика,Gamma,1743.17,1255.93
PR-0008,Товар 0008,Электроника,Delta,11780.45,6309.37
PR-0009,Товар 0009,Товары для дома,Omega,3119.7,1761.97
PR-0010,Товар 0010,Бытовая техника,Beta,250.0,163.58
PR-0011,Товар 0011,Товары для дома,Alpha,1855.88,1283.28
PR-0012,Товар 0012,Спорт,Delta,4765.76,2516.63
PR-0013,Товар 0013,Электроника,Delta,9332.19,6512.47
PR-0014,Товар 0014,Спорт,Delta,5613.77,4164.33
PR-0015,Товар 0015,Косметика,Delta,2775.77,1322.34
PR-0016,Товар 0016,Товары для дома,Delta,3133.86,1621.13
PR-0017,Товар 0017,Бытовая техника,Gamma,3245.75,2167.66
PR-0018,Товар 0018,Товары для дома,Beta,2779.86,1281.55
PR-0019,Товар 0019,Одежда,Delta,4561.7,2441.45
PR-0020,Товар 0020,Электроника,Alpha,8831.97,6212.04
PR-0021,Товар 0021,Спорт,Alpha,4820.43,3154.96
PR-0022,Товар 0022,Спорт,Alpha,3721.56,2390.03
PR-0023,Товар 0023,Электроника,Beta,11323.94,7174.84
PR-0024,Товар 0024,Одежда,Gamma,2804.44,1684.27
PR-0025,Товар 0025,Спорт,Gamma,5433.75,3695.07
PR-0026,Товар 0026,Одежда,Alpha,3679.97,2611.26
PR-0027,Товар 0027,Одежда,Gamma,3260.73,2245.53
PR-0028,Товар 0028,Электроника,Delta,9940.18,5912.5
PR-0029,Товар 0029,Одежда,Beta,3425.87,2341.77
PR-0030,Товар 0030,Одежда,Gamma,4630.59,3133.08
PR-0031,Товар 0031,Косметика,Beta,2226.33,1306.25
PR-0032,Товар 0032,Одежда,Omega,4364.49,2401.49
PR-0033,Товар 0033,Косметика,Gamma,1318.73,755.69
PR-0034,Товар 0034,Электроника,Omega,6040.81,3612.18
PR-0035,Товар 0035,Товары для дома,Beta,2657.07,1312.82
PR-0036,Товар 0036,Электроника,Beta,10729.63,5531.6
PR-0037,Товар 0037,Косметика,Delta,2134.83,1025.9
PR-0038,Товар 0038,Товары для дома,Beta,1916.35,903.92
PR-0039,Товар 0039,Товары для дома,Delta,3310.31,2051.85
PR-0040,Товар 0040,Электроника,Alpha,6632.18,4373.4
PR-0041,Товар 0041,Товары для дома,Omega,3213.2,2037.44
PR-0042,Товар 0042,Электроника,Delta,9352.5,6248.13
PR-0043,Товар 0043,Электроника,Gamma,7830.26,4478.52
PR-0044,Товар 0044,Товары для дома,Gamma,2112.26,1456.92
PR-0045,Товар 0045,Электроника,Beta,8896.21,5998.76
PR-0046,Товар 0046,Одежда,Beta,3293.01,2184.26
PR-0047,Товар 0047,Спорт,Beta,2851.66,1938.56
PR-0048,Товар 0048,Электроника,Delta,10291.17,5345.58
PR-0049,Товар 0049,Товары для дома,Beta,3652.58,2267.64
PR-0050,Товар 0050,Одежда,Beta,4163.85,2841.75
PR-0051,Товар 0051,Одежда,Beta,3552.84,1704.16
PR-0052,Товар 0052,Одежда,Gamma,2696.07,1413.07
PR-0053,Товар 0053,Одежда,Beta,3344.42,1997.45
PR-0054,Товар 0054,Товары для дома,Gamma,2480.37,1424.37
PR-0055,Товар 0055,Товары для дома,Omega,2713.11,1965.06
PR-0056,Товар 0056,Бытовая техника,Beta,15933.06,10757.89
PR-0057,Товар 0057,Косметика,Alpha,1731.95,800.59
PR-0058,Товар 0058,Одежда,Delta,1142.19,673.43
PR-0059,Товар 0059,Товары для дома,Beta,3327.59,2258.66
PR-0060,Товар 0060,Электроника,Delta,9681.69,6299.9
PR-0061,Товар 0061,Бытовая техника,Omega,12629.64,7720.44
PR-0062,Товар 0062,Бытовая техника,Gamma,7067.62,3361.07
PR-0063,Товар 0063,Косметика,Gamma,1275.64,924.25
PR-0064,Товар 0064,Электроника,Delta,6371.72,3660.74
PR-0065,Товар 0065,Одежда,Alpha,2546.25,1256.68
PR-0066,Товар 0066,Спорт,Alpha,3728.07,1772.02
