region_id,region_name,macro_region,city,latitude,longitude,demand_weight
R01,Москва,Центральный,Москва,55.7558,37.6176,1.0
R02,Санкт-Петербург,Северо-Западный,Санкт-Петербург,59.9343,30.3351,0.86
R03,Московская область,Центральный,Химки,55.8941,37.4439,0.7
R04,Ленинградская область,Северо-Западный,Гатчина,59.5764,30.1283,0.42
R05,Республика Татарстан,Приволжский,Казань,55.7961,49.1064,0.52
R06,Свердловская область,Уральский,Екатеринбург,56.8389,60.6057,0.5
R07,Новосибирская область,Сибирский,Новосибирск,55.0084,82.9357,0.44
R08,Краснодарский край,Южный,Краснодар,45.0355,38.9753,0.46
R09,Ростовская область,Южный,Ростов-на-Дону,47.2357,39.7015,0.36
R10,Самарская область,Приволжский,Самара,53.1959,50.1008,0.34
R11,Нижегородская область,Приволжский,Нижний Новгород,56.2965,43.9361,0.36
R12,Республика Башкортостан,Приволжский,Уфа,54.7388,55.9721,0.3
