review_id;order_id;client_id;product_id;review_date;rating;review_text;review_source
R0001;O00006;C022;P001;2026-05-13;2;Заказ пришел быстро, товар соответствует описанию.;marketplace
R0002;O00042;C035;P014;2026-05-26;2;Промокод не применился, но товар понравился.;support_form
R0003;O00051;C014;P019;2026-05-19;5;Промокод не применился, но товар понравился.;marketplace
R0004;O00077;C050;P008;2026-05-29;5;Доставка задержалась, поддержка ответила не сразу.;marketplace
R0005;O00016;C026;P017;2026-06-16;2;Качество товара отличное, буду покупать еще.;site
R0006;O00105;C049;P018;2026-05-28;4;Цена хорошая, но упаковка была повреждена.;marketplace
R0007;O00085;C059;P019;2026-06-01;5;Качество товара отличное, буду покупать еще.;site
R0008;O00046;C004;P006;2026-06-01;4;Цена хорошая, но упаковка была повреждена.;marketplace
R0009;O00116;C016;P005;2026-06-07;2;Не подошел размер, пришлось оформить возврат.;support_form
R0010;O00122;C012;P999;2026-06-24;3;Цена хорошая, но упаковка была повреждена.;site
R0011;O00028;C015;P010;2026-05-28;2;Доставка задержалась, поддержка ответила не сразу.;marketplace
R0012;O00067;C023;P017;2026-06-14;;Не подошел размер, пришлось оформить возврат.;site
R0013;O00071;C015;P010;2026-05-16;5;Не подошел размер, пришлось оформить возврат.;support_form
R0014;O00025;C019;P010;2026-05-02;4;Промокод не применился, но товар понравился.;marketplace
R0015;O00104;C056;P016;2026-06-09;4;Цена хорошая, но упаковка была повреждена.;marketplace
R0016;O00090;C028;P019;2026-05-21;4;Заказ пришел быстро, товар соответствует описанию.;marketplace
R0017;O00109;C059;P017;2026-05-10;4;Доставка задержалась, поддержка ответила не сразу.;marketplace
R0018;O00020;C034;P001;2026-06-07;5;Цена хорошая, но упаковка была повреждена.;site
R0019;O00100;C046;P017;2026-05-20;2;Заказ пришел быстро, товар соответствует описанию.;site
R0020;O00009;C020;P002;2026-05-17;4;Промокод не применился, но товар понравился.;site
R0021;O00035;C048;P006;2026-05-30;5;Промокод не применился, но товар понравился.;site
R0022;O00063;C001;P018;2026-05-22;4;На сайте было сложно найти нужный товар.;marketplace
R0023;O00015;C022;P013;2026-05-23;4;Цена хорошая, но упаковка была повреждена.;support_form
R0024;O00010;C023;P004;2026-05-19;3;Заказ пришел быстро, товар соответствует описанию.;marketplace
R0025;O00013;C025;P004;2026-05-19;5;Не подошел размер, пришлось оформить возврат.;marketplace
R0026;O00063;C001;P018;2026-05-20;5;Все хорошо, рекомендую.;site
R0027;O00071;C015;P010;2026-05-17;4;Не подошел размер, пришлось оформить возврат.;support_form
R0028;O00117;C040;P003;2026-05-16;4;На сайте было сложно найти нужный товар.;support_form
R0029;O00098;C036;P010;2026-05-15;5;Качество товара отличное, буду покупать еще.;site
R0030;O00003;C017;P005;2026-05-14;2;Качество товара отличное, буду покупать еще.;support_form
R0031;O00067;C023;P017;2026-06-16;5;Заказ пришел быстро, товар соответствует описанию.;marketplace
R0032;O00003;C017;P005;2026-05-18;4;Не подошел размер, пришлось оформить возврат.;site
R0033;O00041;C025;P019;2026-05-11;3;Промокод не применился, но товар понравился.;marketplace
R0034;O00012;C052;P014;2026-05-25;5;Не подошел размер, пришлось оформить возврат.;site
R0035;O00009;C020;P002;2026-05-13;5;Промокод не применился, но товар понравился.;support_form
R0036;O00016;C026;P017;2026-06-16;2;Качество товара отличное, буду покупать еще.;site
